crisis_name,article_count,top_by_total,top_by_average
Gaza and the Occupied Palestinian Territories,22671,"{""ceasefire"": 22626, ""humanitarian aid"": 6302, ""genocide"": 5472, ""human rights"": 5370, ""casualties"": 5001, ""refugees"": 4793, ""victim"": 4648, ""occupation"": 4133, ""terrorism"": 3567, ""war crimes"": 2483, ""displacement"": 2448, ""humanitarian crisis"": 2155, ""sanctions"": 2132, ""ethnic cleansing"": 883, ""propaganda"": 863, ""sovereignty"": 541, ""disinformation"": 382, ""peace talks"": 296, ""aggressor"": 119, ""military strategy"": 102, ""peace negotiations"": 60, ""economic impact"": 47, ""global condemnation"": 38, ""international intervention"": 28, ""energy security"": 28, ""political consequences"": 16, ""security implications"": 12, ""civilian impact"": 8}","{""ceasefire"": 0.9980150853513299, ""humanitarian aid"": 0.2779762692426448, ""genocide"": 0.24136562127828504, ""human rights"": 0.23686648140796612, ""casualties"": 0.22059018128887126, ""refugees"": 0.21141546469057387, ""victim"": 0.20501962860041462, ""occupation"": 0.18230338317674563, ""terrorism"": 0.15733756781791716, ""war crimes"": 0.10952317939217503}"
Ukraine,16912,"{""sanctions"": 16559, ""refugees"": 6674, ""casualties"": 3840, ""war crimes"": 3607, ""human rights"": 3543, ""ceasefire"": 2998, ""victim"": 2453, ""occupation"": 1975, ""propaganda"": 1971, ""sovereignty"": 1810, ""genocide"": 1666, ""humanitarian aid"": 1551, ""disinformation"": 1154, ""peace talks"": 1076, ""terrorism"": 1032, ""aggressor"": 772, ""humanitarian crisis"": 614, ""displacement"": 430, ""energy security"": 189, ""peace negotiations"": 159, ""ethnic cleansing"": 105, ""military strategy"": 92, ""economic impact"": 78, ""global condemnation"": 47, ""political consequences"": 37, ""security implications"": 10, ""international intervention"": 5, ""civilian impact"": 4}","{""sanctions"": 0.9791272469252602, ""refugees"": 0.3946310312204352, ""casualties"": 0.22705771050141912, ""war crimes"": 0.21328051087984862, ""human rights"": 0.209496215704825, ""ceasefire"": 0.1772705771050142, ""victim"": 0.14504493850520342, ""occupation"": 0.1167809839167455, ""propaganda"": 0.11654446546830653, ""sovereignty"": 0.10702459791863765}"
