,crisis_name,matched_outlet,coverage_count,start_date,fund_required,people_affected,crisis_days,coverage_per_day,coverage_per_funding,coverage_per_people
84,Democratic Republic of the Congo,CNN,29,3/1/2022,3.23,21.2,1075,0.026976744186046512,8.978328173374614,1.3679245283018868
85,Democratic Republic of the Congo,CTV News,14,3/1/2022,3.23,21.2,1075,0.013023255813953489,4.3343653250774,0.6603773584905661
86,Democratic Republic of the Congo,Daily Express,17,3/1/2022,3.23,21.2,1075,0.01581395348837209,5.2631578947368425,0.8018867924528302
87,Democratic Republic of the Congo,Forbes,18,3/1/2022,3.23,21.2,1075,0.01674418604651163,5.572755417956657,0.8490566037735849
88,Democratic Republic of the Congo,Fox News,18,3/1/2022,3.23,21.2,1075,0.01674418604651163,5.572755417956657,0.8490566037735849
89,Democratic Republic of the Congo,GB News,1,3/1/2022,3.23,21.2,1075,0.0009302325581395349,0.30959752321981426,0.04716981132075472
90,Democratic Republic of the Congo,ITV,2,3/1/2022,3.23,21.2,1075,0.0018604651162790699,0.6191950464396285,0.09433962264150944
91,Democratic Republic of the Congo,MSN,339,3/1/2022,3.23,21.2,1075,0.31534883720930235,104.95356037151703,15.99056603773585
92,Democratic Republic of the Congo,Mail Online,35,3/1/2022,3.23,21.2,1075,0.03255813953488372,10.8359133126935,1.650943396226415
93,Democratic Republic of the Congo,Manchester Evening News,3,3/1/2022,3.23,21.2,1075,0.0027906976744186047,0.9287925696594427,0.14150943396226415
94,Democratic Republic of the Congo,Metro,13,3/1/2022,3.23,21.2,1075,0.012093023255813953,4.024767801857585,0.6132075471698113
95,Democratic Republic of the Congo,Mirror,28,3/1/2022,3.23,21.2,1075,0.026046511627906978,8.6687306501548,1.3207547169811322
96,Democratic Republic of the Congo,NBC News,11,3/1/2022,3.23,21.2,1075,0.010232558139534883,3.4055727554179565,0.5188679245283019
97,Democratic Republic of the Congo,NYT,63,3/1/2022,3.23,21.2,1075,0.0586046511627907,19.5046439628483,2.9716981132075473
98,Democratic Republic of the Congo,New York Post,9,3/1/2022,3.23,21.2,1075,0.008372093023255815,2.7863777089783284,0.42452830188679247
99,Democratic Republic of the Congo,News.com.au,11,3/1/2022,3.23,21.2,1075,0.010232558139534883,3.4055727554179565,0.5188679245283019
